OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
0,3/28/20 10:00,0,0,0,0,0,0,0,0,0,0
1,3/29/20 10:00,4,21,165,203,241,243,191,117,54,
2,3/30/20 10:00,5,27,188,247,262,274,219,139,53,
3,3/31/20 10:00,6,32,215,290,304,335,260,157,61,
4,4/1/20 10:00,6,39,252,345,372,396,309,187,79,
5,4/2/20 10:00,9,46,286,410,437,471,357,217,98,
6,4/3/20 10:00,9,55,335,485,509,552,423,266,124,
7,4/4/20 10:00,13,65,379,557,575,625,473,299,139,
8,4/5/20 10:00,16,69,422,638,666,736,546,354,162,
9,4/6/20 10:00,16,76,469,718,737,825,597,407,200,
10,4/7/20 10:00,21,82,505,773,795,891,643,445,216,
11,4/8/20 10:00,27,109,625,968,1015,1135,833,550,267,
12,4/9/20 10:00,33,127,701,1076,1145,1282,913,600,308,
13,4/10/20 10:00,36,146,772,1205,1281,1421,1051,685,371,
14,4/11/20 10:00,45,162,855,1317,1413,1565,1141,757,439,
15,4/12/20 10:00,52,172,906,1390,1504,1675,1212,816,498,
16,4/13/20 10:00,63,190,970,1511,1637,1801,1317,877,570,
17,4/14/20 10:00,70,199,1030,1603,1740,1902,1389,935,604,0
18,4/15/20 10:00,74,204,1089,1670,1808,2005,1474,1010,698,0
19,4/16/20 10:00,86,231,1162,1784,1951,2138,1602,1065,765,0
20,4/17/20 10:00,86,242,1227,1882,2088,2287,1710,1171,879,0
21,4/18/20 10:00,89,254,1311,2010,2215,2399,1831,1253,946,0
22,4/19/20 10:00,93,277,1391,2100,2312,2492,1898,1286,981,0
23,4/20/20 10:00,108,300,1488,2245,2442,2632,2015,1385,1069,0
24,4/21/20 10:00,118,318,1543,2329,2539,2712,2083,1432,1119,0
25,4/22/20 10:00,132,337,1595,2415,2611,2805,2156,1512,1212,0
26,4/23/20 10:00,152,369,1708,2604,2786,2960,2269,1593,1296,0
27,4/24/20 10:00,164,395,1833,2757,2931,3094,2383,1680,1379,0
28,4/25/20 10:00,189,441,1982,2963,3155,3288,2548,1766,1434,0
29,4/26/20 10:00,212,463,2097,3109,3270,3414,2651,1837,1528,0
30,4/27/20 10:00,228,490,2217,3264,3436,3556,2758,1916,1622,0
